,KO,Description,hsa,ptr,pps,ggo,pon,ppyg
80,K00086,"dhaT; 1,3-propanediol dehydrogenase [EC:1.1.1.202]",0,0,0,0,0,0
81,K00087,"ygeS, xdhA; xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]",0,0,0,0,0,0
82,K00088,"IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]",1,1,1,1,1,1
83,K00089,AKR1C2; 3alpha-hydroxysteroid 3-dehydrogenase [EC:1.1.1.213 1.1.1.357],1,1,1,0,0,0
84,K00090,ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215],0,0,0,0,0,0
85,K00091,E1.1.1.219; dihydroflavonol-4-reductase [EC:1.1.1.219],0,0,0,0,0,0
86,K00093,mdh; methanol dehydrogenase [EC:1.1.1.244],0,0,0,0,0,0
87,K00094,"E1.1.1.251, gatD; galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]",0,0,0,0,0,0
88,K00095,MTD; mannitol dehydrogenase [EC:1.1.1.255],0,0,0,0,0,0
89,K00096,"araM, egsA; glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]",0,0,0,0,0,0
90,K00097,pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262],0,0,0,0,0,0
91,K00098,idnD; L-idonate 5-dehydrogenase [EC:1.1.1.264],0,0,0,0,0,0
92,K00099,dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267],0,0,0,0,0,0
93,K00100,bdhAB; butanol dehydrogenase [EC:1.1.1.-],0,0,0,0,0,0
94,K00101,lldD; L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3],0,0,0,0,0,0
95,K00102,"LDHD, dld; D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]",1,1,1,1,1,1
96,K00103,GULO; L-gulonolactone oxidase [EC:1.1.3.8],0,0,0,0,0,0
97,K00104,glcD; glycolate dehydrogenase FAD-linked subunit [EC:1.1.99.14],0,0,0,0,0,0
98,K00105,E1.1.3.21; alpha-glycerophosphate oxidase [EC:1.1.3.21],0,0,0,0,0,0
99,K00106,XDH; xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2],1,1,1,1,1,1
100,K00107,"ALO; D-arabinono-1,4-lactone oxidase [EC:1.1.3.37]",0,0,0,0,0,0
101,K00108,"betA, CHDH; choline dehydrogenase [EC:1.1.99.1]",1,1,1,1,1,1
102,K00109,L2HGDH; 2-hydroxyglutarate dehydrogenase [EC:1.1.99.2],1,1,1,1,1,1
103,K00111,"glpA, glpD; glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]",1,1,1,1,1,1
104,K00112,glpB; glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3],0,0,0,0,0,0
105,K00113,glpC; glycerol-3-phosphate dehydrogenase subunit C,0,0,0,0,0,0
106,K00114,exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8],0,0,0,0,0,0
107,K00115,"GLD; glucose 1-dehydrogenase (FAD, quinone) [EC:1.1.5.9]",0,0,0,0,0,0
108,K00116,mqo; malate dehydrogenase (quinone) [EC:1.1.5.4],0,0,0,0,0,0
109,K00117,gcd; quinoprotein glucose dehydrogenase [EC:1.1.5.2],0,0,0,0,0,0
110,K00118,gfo; glucose-fructose oxidoreductase [EC:1.1.99.28],0,0,0,0,0,0
111,K00119,E1.1.99.36; alcohol dehydrogenase (nicotinoprotein) [EC:1.1.99.36],0,0,0,0,0,0
112,K00120,fgd2; F420-dependent hydroxymycolic acid dehydrogenase [EC:1.1.98.-],0,0,0,0,0,0
113,K00121,"frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]",1,1,1,1,1,1
114,K00122,FDH; formate dehydrogenase [EC:1.17.1.9],0,0,0,0,0,0
115,K00123,"fdoG, fdhF, fdwA; formate dehydrogenase major subunit [EC:1.17.1.9]",0,0,0,0,0,0
116,K00124,"fdoH, fdsB; formate dehydrogenase iron-sulfur subunit",0,0,0,0,0,0
117,K00125,fdhB; formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6],0,0,0,0,0,0
118,K00126,fdsD; formate dehydrogenase subunit delta [EC:1.17.1.9],0,0,0,0,0,0
119,K00127,"fdoI, fdsG; formate dehydrogenase subunit gamma",0,0,0,0,0,0
120,K00128,ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3],1,1,1,1,1,1
121,K00129,ALDH3; aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5],1,1,1,1,1,1
122,K00130,"betB, gbsA; betaine-aldehyde dehydrogenase [EC:1.2.1.8]",0,0,0,0,0,0
123,K00131,gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9],0,0,0,0,0,0
124,K00132,E1.2.1.10; acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10],0,0,0,0,0,0
125,K00133,asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11],0,0,0,0,0,0
126,K00134,"GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]",1,1,1,1,1,1
127,K00135,gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20],0,0,0,0,0,0
128,K00137,prr; aminobutyraldehyde dehydrogenase [EC:1.2.1.19],0,0,0,0,0,0
129,K00138,aldB; aldehyde dehydrogenase [EC:1.2.1.-],0,0,0,0,0,0
130,K00139,ALDH5A1; succinate-semialdehyde dehydrogenase [EC:1.2.1.24],1,1,1,1,1,1
131,K00140,"mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]",1,1,1,1,1,1
132,K00141,xylC; benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28],0,0,0,0,0,0
133,K00142,AASDH; acyl-CoA synthetase [EC:6.2.1.-],1,1,1,1,1,1
134,K00143,LYS2; L-2-aminoadipate reductase [EC:1.2.1.95],0,0,0,0,0,0
135,K00145,argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38],0,0,0,0,0,0
136,K00146,"feaB, tynC; phenylacetaldehyde dehydrogenase [EC:1.2.1.39]",0,0,0,0,0,0
137,K00147,proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41],0,0,0,0,0,0
138,K00148,fdhA; glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46],0,0,0,0,0,0
139,K00149,ALDH9A1; aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3],1,1,1,1,1,1
140,K00150,"gap2, gapB; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) [EC:1.2.1.59]",0,0,0,0,0,0
141,K00151,"hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]",0,0,0,0,0,0
142,K00152,nahF; salicylaldehyde dehydrogenase [EC:1.2.1.65],0,0,0,0,0,0
143,K00153,E1.1.1.306; S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306],0,0,0,0,0,0
144,K00154,E1.2.1.68; coniferyl-aldehyde dehydrogenase [EC:1.2.1.68],0,0,0,0,0,0
145,K00155,"LNAA, LNBA; L-tyrosine reductase [EC:1.2.1.101]",0,0,0,0,0,0
146,K00156,poxB; pyruvate dehydrogenase (quinone) [EC:1.2.5.1],0,0,0,0,0,0
147,K00157,AOX; aldehyde oxidase [EC:1.2.3.1],1,1,1,1,1,1
148,K00158,"spxB, poxL; pyruvate oxidase [EC:1.2.3.3]",0,0,0,0,0,0
149,K00161,"PDHA, pdhA; pyruvate dehydrogenase E1 component subunit alpha [EC:1.2.4.1]",1,1,1,1,1,1
150,K00162,"PDHB, pdhB; pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]",1,1,1,1,1,1
151,K00163,aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1],0,0,0,0,0,0
152,K00164,"OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]",1,1,1,1,1,1
153,K00166,"BCKDHA, bkdA1; 2-oxoisovalerate dehydrogenase E1 component subunit alpha [EC:1.2.4.4]",1,1,1,1,1,1
154,K00167,"BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component subunit beta [EC:1.2.4.4]",1,1,1,1,1,1
155,K00169,porA; pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1],0,0,0,0,0,0
156,K00170,porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1],0,0,0,0,0,0
157,K00171,porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1],0,0,0,0,0,0
158,K00172,"porC, porG; pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]",0,0,0,0,0,0
159,K00174,"korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]",0,0,0,0,0,0
160,K00175,"korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]",0,0,0,0,0,0
161,K00176,"korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]",0,0,0,0,0,0
162,K00177,"korC, oorC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]",0,0,0,0,0,0
163,K00179,"iorA; indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]",0,0,0,0,0,0
164,K00180,"iorB; indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]",0,0,0,0,0,0
165,K00181,PORCN; O-palmitoleoyl transferase [EC:2.3.1.250],1,1,1,1,1,1
166,K00182,"WNT2; wingless-type MMTV integration site family, member 2",1,1,1,1,1,1
167,K00184,dmsB; dimethyl sulfoxide reductase iron-sulfur subunit,0,0,0,0,0,0
168,K00185,dmsC; dimethyl sulfoxide reductase membrane subunit,0,0,0,0,0,0
169,K00186,vorA; 2-oxoisovalerate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.7],0,0,0,0,0,0
170,K00187,vorB; 2-oxoisovalerate ferredoxin oxidoreductase beta subunit [EC:1.2.7.7],0,0,0,0,0,0
171,K00188,vorD; 2-oxoisovalerate ferredoxin oxidoreductase delta subunit [EC:1.2.7.7],0,0,0,0,0,0
172,K00189,"vorG, porG; 2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.7 1.2.7.1]",0,0,0,0,0,0
173,K00192,"cdhA; anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha [EC:1.2.7.4]",0,0,0,0,0,0
174,K00193,"cdhC; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta [EC:2.3.1.169]",0,0,0,0,0,0
175,K00194,"cdhD, acsD; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245]",0,0,0,0,0,0
176,K00195,"cdhB; anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit epsilon",0,0,0,0,0,0
177,K00196,cooF; anaerobic carbon-monoxide dehydrogenase iron sulfur subunit,0,0,0,0,0,0
178,K00197,"cdhE, acsC; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma [EC:2.1.1.245]",0,0,0,0,0,0
179,K00198,"cooS, acsA; anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]",0,0,0,0,0,0
180,K00200,"fwdA, fmdA; formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]",0,0,0,0,0,0
181,K00201,"fwdB, fmdB; formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]",0,0,0,0,0,0
182,K00202,"fwdC, fmdC; formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]",0,0,0,0,0,0
183,K00203,"fwdD, fmdD; formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12]",0,0,0,0,0,0
184,K00204,fwdH; 4Fe-4S ferredoxin,0,0,0,0,0,0
185,K00205,"fwdF, fmdF; 4Fe-4S ferredoxin",0,0,0,0,0,0
186,K00206,phnY; phosphonoacetaldehyde dehydrogenase [EC:1.2.1.-],0,0,0,0,0,0
187,K00207,DPYD; dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2],1,1,1,1,1,1
188,K00208,fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10],0,0,0,0,0,0
189,K00209,"fabV, ter; enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]",0,0,0,0,0,0
190,K00211,TYR1; prephenate dehydrogenase (NADP+) [EC:1.3.1.13],0,0,0,0,0,0
191,K00212,AKR1C1; 20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase [EC:1.1.1.149 1.1.1.357 1.3.1.20],1,1,1,1,1,1
192,K00213,DHCR7; 7-dehydrocholesterol reductase [EC:1.3.1.21],1,1,1,1,1,1
193,K00214,"BLVRA, bvdR; biliverdin reductase [EC:1.3.1.24]",1,1,1,1,1,1
194,K00215,dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8],0,0,0,0,0,0
195,K00216,"entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]",0,0,0,0,0,0
196,K00217,E1.3.1.32; maleylacetate reductase [EC:1.3.1.32],0,0,0,0,0,0
197,K00218,por; protochlorophyllide reductase [EC:1.3.1.33],0,0,0,0,0,0
198,K00219,"fadH; 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]",0,0,0,0,0,0
199,K00220,tyrC; cyclohexadieny/prephenate dehydrogenase [EC:1.3.1.43 1.3.1.12],0,0,0,0,0,0
200,K00221,E4.99.1.2; alkylmercury lyase [EC:4.99.1.2],0,0,0,0,0,0
201,K00222,"TM7SF2, ERG24; Delta14-sterol reductase [EC:1.3.1.70]",1,1,1,1,1,1
202,K00223,ERG4; Delta24(24(1))-sterol reductase [EC:1.3.1.71],0,0,0,0,0,0
203,K00224,CEQORH; chloroplastic oxoene reductase [EC:1.3.1.-],0,0,0,0,0,0
204,K00225,"GLDH; L-galactono-1,4-lactone dehydrogenase [EC:1.3.2.3]",0,0,0,0,0,0
205,K00226,pyrD; dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1],0,0,0,0,0,0
206,K00227,"SC5DL, ERG3; Delta7-sterol 5-desaturase [EC:1.14.19.20]",1,1,1,1,1,1
207,K00228,"CPOX, hemF; coproporphyrinogen III oxidase [EC:1.3.3.3]",1,1,1,1,1,1
208,K00230,hemG; menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3],0,0,0,0,0,0
209,K00231,"PPOX, hemY; protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]",1,1,1,1,1,1
210,K00232,"E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase [EC:1.3.3.6]",1,1,1,1,1,1
211,K00233,"frdA, fdrA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1 7.1.1.12]",0,0,0,0,0,0
212,K00234,"SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]",1,1,1,1,1,1
213,K00235,"SDHB, SDH2; succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]",1,1,1,1,1,1
214,K00236,"SDHC, SDH3; succinate dehydrogenase (ubiquinone) cytochrome b560 subunit",1,1,1,1,1,1
215,K00237,"SDHD, SDH4; succinate dehydrogenase (ubiquinone) membrane anchor subunit",1,1,1,1,1,1
216,K00239,"sdhA, frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]",0,0,0,0,0,0
217,K00240,"sdhB, frdB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]",0,0,0,0,0,0
218,K00241,"sdhC, frdC; succinate dehydrogenase cytochrome b subunit",0,0,0,0,0,0
219,K00242,"sdhD, frdD; succinate dehydrogenase membrane anchor subunit",0,0,0,0,0,0
220,K00243,K00243; uncharacterized protein,0,0,0,0,0,0
221,K00244,frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1],0,0,0,0,0,0
222,K00245,frdB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1],0,0,0,0,0,0
223,K00246,frdC; succinate dehydrogenase subunit C,0,0,0,0,0,0
224,K00247,frdD; succinate dehydrogenase subunit D,0,0,0,0,0,0
225,K00248,"ACADS, bcd; butyryl-CoA dehydrogenase [EC:1.3.8.1]",1,1,1,1,1,1
226,K00249,"ACADM, acd; acyl-CoA dehydrogenase [EC:1.3.8.7]",1,1,1,1,1,1
227,K00251,AKR1D1; 3-oxo-5-beta-steroid 4-dehydrogenase [EC:1.3.1.3],1,1,1,1,1,1
228,K00252,"GCDH, gcdH; glutaryl-CoA dehydrogenase [EC:1.3.8.6]",1,1,1,1,1,1
229,K00253,"IVD, ivd; isovaleryl-CoA dehydrogenase [EC:1.3.8.4]",1,1,1,1,1,1
230,K00254,"DHODH, pyrD; dihydroorotate dehydrogenase [EC:1.3.5.2]",1,1,1,1,1,1
231,K00255,ACADL; long-chain-acyl-CoA dehydrogenase [EC:1.3.8.8],1,1,1,1,1,1
232,K00257,"mbtN, fadE14; acyl-ACP dehydrogenase [EC:1.3.99.-]",0,0,0,0,0,0
233,K00258,SWNR; swainsonine biosynthesis oxidoreductase SwnR [EC:1.3.1.-],0,0,0,0,0,0
234,K00259,ald; alanine dehydrogenase [EC:1.4.1.1],0,0,0,0,0,0
235,K00260,"gudB, rocG; glutamate dehydrogenase [EC:1.4.1.2]",0,0,0,0,0,0
236,K00261,"GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]",1,1,1,1,1,1
237,K00262,"E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]",0,0,0,0,0,0
238,K00263,E1.4.1.9; leucine dehydrogenase [EC:1.4.1.9],0,0,0,0,0,0
239,K00264,GLT1; glutamate synthase (NADH) [EC:1.4.1.14],0,0,0,0,0,0
240,K00265,gltB; glutamate synthase (NADPH) large chain [EC:1.4.1.13],0,0,0,0,0,0
241,K00266,gltD; glutamate synthase (NADPH) small chain [EC:1.4.1.13],0,0,0,0,0,0
